panel_name,store_count,store_type_coverage,cluster_coverage,city_coverage,state_coverage,sales_contribution_coverage,category_coverage,top_store_concentration
random_panel,19,0.8,0.7058823529411765,0.5,0.625,0.37835030012230153,1.0,0.4759077413987058
stratified_panel,18,1.0,0.5294117647058824,0.4090909090909091,0.4375,0.34320178164850185,1.0,0.4861974027274449
large_store_biased_panel,19,1.0,0.6470588235294118,0.3181818181818182,0.3125,0.4754974336818907,1.0,0.4459779392898987
optimized_panel,19,1.0,1.0,0.36363636363636365,0.4375,0.5046509483182317,1.0,0.4725121161962081
