period,actual_sales,sample_sales,estimated_sales,method,error,error_pct
2017-04-24,5787302.581,,6887516.8925,stratified,1100214.3114999998,0.1901083097179086
2017-05-01,6902516.193,,8369188.3807500005,stratified,1466672.1877500005,0.2124837011229885
2017-05-08,5672859.231,,6874080.6674999995,stratified,1201221.4364999998,0.21174885319483788
2017-05-15,6112115.739,,7377051.00275,stratified,1264935.26375,0.20695538464344512
2017-05-22,5847001.509,,6963536.2524999995,stratified,1116534.7434999999,0.1909585181022056
2017-05-29,6615275.674,,7999615.57125,stratified,1384339.8972500004,0.2092641282797734
2017-06-05,6230800.905,,7634006.626750001,stratified,1403205.7217500005,0.22520471174483794
2017-06-12,5840051.062,,7086177.9825,stratified,1246126.9205,0.21337603169401878
2017-06-19,5771418.822,,7009873.120999999,stratified,1238454.2989999996,0.2145840281559798
2017-06-26,6106477.401,,7308027.9655,stratified,1201550.5645000003,0.19676656206133405
2017-07-03,6207049.075,,7535952.33,stratified,1328903.255,0.2140958189540333
2017-07-10,5748513.468,,6912927.10125,stratified,1164413.63325,0.2025590858805308
2017-07-17,5744335.177,,6815698.046499999,stratified,1071362.869499999,0.18650772221469192
2017-07-24,5921810.939,,7046362.6005,stratified,1124551.6614999995,0.18989996017838073
2017-07-31,6410193.662,,7620878.02375,stratified,1210684.3617500002,0.18886860921644338
2017-08-07,5385401.8379999995,,6343847.50675,stratified,958445.6687500002,0.17797105909295385
2017-08-14,1523584.3483,,1825192.1390000002,stratified,301607.79070000025,0.19795936538500883
2016-12-26,12082.501,0.0,0.0,contribution_weighted,-12082.501,-1.0
2017-01-02,7410347.061,3893450.0700000003,7715134.753982074,contribution_weighted,304787.6929820739,0.04113001597268561
2017-01-09,5902375.601,3067587.728,6078632.643459508,contribution_weighted,176257.0424595084,0.029862051210303588
2017-01-16,5911569.765,3081415.698,6106033.701648504,contribution_weighted,194463.93664850388,0.032895481974998544
2017-01-23,5615398.863,2894212.454,5735077.807036868,contribution_weighted,119678.9440368684,0.021312634588690732
2017-01-30,6306448.555,3224342.48,6389252.790954309,contribution_weighted,82804.23595430888,0.0131300898171378
2017-02-06,5706049.262,2963946.963,5873261.45502642,contribution_weighted,167212.19302641973,0.02930437249113601
2017-02-13,5509823.915,2841303.09,5630234.322294944,contribution_weighted,120410.40729494393,0.021853766863063884
2017-02-20,5509810.994,2745745.116,5440879.731129603,contribution_weighted,-68931.26287039649,-0.012510640191734404
2017-02-27,6744430.477,3520164.115,6975443.376716283,contribution_weighted,231012.8997162832,0.03425239544007286
2017-03-06,5907994.449,3060626.8559999997,6064839.204602021,contribution_weighted,156844.75560202077,0.026547884727374557
2017-03-13,5978472.396,3105906.014,6154562.919876697,contribution_weighted,176090.52387669683,0.029454100012992153
2017-03-20,5939372.637,3059659.901,6062923.117843,contribution_weighted,123550.48084300011,0.02080194128136165
2017-03-27,6429788.578,3266958.459,6473699.236843332,contribution_weighted,43910.65884333197,0.006829253918795333
2017-04-03,6056291.476,3073240.3,6089833.597344242,contribution_weighted,33542.121344242245,0.005538392839440386
2017-04-10,5634508.939,2824652.149,5597239.356060382,contribution_weighted,-37269.58293961827,-0.006614521929613406
2017-04-17,5815468.498,2951996.535,5849580.873349471,contribution_weighted,34112.375349471346,0.005865800040220826
2017-04-24,5787302.581,2830841.571,5609504.11454469,contribution_weighted,-177798.46645531058,-0.03072216528629965
2017-05-01,6902516.193,3456194.519,6848683.293904229,contribution_weighted,-53832.8990957709,-0.007799025397486801
2017-05-08,5672859.231,2831872.339,5611546.651080953,contribution_weighted,-61312.57991904672,-0.01080805594187795
2017-05-15,6112115.739,3043471.6180000002,6030844.939740001,contribution_weighted,-81270.79925999884,-0.013296672172195403
2017-05-22,5847001.509,2879084.926,5705101.586739625,contribution_weighted,-141899.92226037476,-0.024268836264528963
2017-05-29,6615275.674,3302491.785,6544110.926583371,contribution_weighted,-71164.74741662852,-0.010757638974340426
2017-06-05,6230800.905,3142403.122,6226884.4088615645,contribution_weighted,-3916.4961384357885,-0.0006285702589683032
2017-06-12,5840051.062,2938091.928,5822027.953759529,contribution_weighted,-18023.10824047122,-0.0030861216878297257
2017-06-19,5771418.822,2902382.652,5751267.607189285,contribution_weighted,-20151.214810715057,-0.003491553018800315
2017-06-26,6106477.401,3030237.931,6004621.493526134,contribution_weighted,-101855.9074738659,-0.016679977798196046
2017-07-03,6207049.075,3095358.1520000002,6133661.6176297655,contribution_weighted,-73387.45737023465,-0.011823244263657549
2017-07-10,5748513.468,2841276.183,5630181.004253852,contribution_weighted,-118332.46374614816,-0.020584880666082515
2017-07-17,5744335.177,2835283.454,5618306.006257769,contribution_weighted,-126029.17074223142,-0.02193973138037718
2017-07-24,5921810.939,2892922.859,5732522.387287242,contribution_weighted,-189288.5517127579,-0.031964639476437344
2017-07-31,6410193.662,3105406.719,6153573.533050686,contribution_weighted,-256620.12894931342,-0.04003313198953293
2017-08-07,5385401.8379999995,2584621.436,5121602.257190537,contribution_weighted,-263799.5808094628,-0.04898419630417611
2017-08-14,1523584.3483,724615.0819999999,1435873.814197332,contribution_weighted,-87710.53410266805,-0.05756854499098431
